Ementa,Assunto
Indica ao Presidente da Câmara Municipal a substituição da compra de garrafas de água pelo uso de filtros de água elétricos.,Educação ambiental
"Indica à autoridade municipal de trânsito a necessidade de redução das restrições de estacionamento em vagas com reserva oficial para apenas entre às 8h e às 18h, nos dias úteis.",Estacionamentos e vagas rotativas
Indica ao Poder Executivo a necessidade de iniciar o processo de cadastramento dos blocos de rua para o Carnaval de 2026.,Evento cultural
"Indica ao Poder Executivo o conserto de boca de lobo na Rua Silva Jardim, esquina com a Rua Professora Maria Júlia Franco.",Rede de drenagem
"Indica ao Poder Executivo Municipal a reativação de faixa de pedestres na esquina do Sesc Prainha, na Rua Silva Jardim, esquina com a Rua Dr. Jorge Luiz Fontes.",Organização do trânsito
"Indica ao Poder Executivo Municipal a instalação de faixa de pedestres na Rua Silva Jardim, a fim de completar o trajeto de travessia existente nas proximidades do Posto Shell, na altura do nº 27.",Organização do trânsito
"Indica ao Poder Executivo Municipal a implantação de faixa elevada para travessia de pedestres na Avenida Cesar Seara, na altura do nº 192.",Organização do trânsito
Indica ao Poder Executivo Municipal a realização de limpeza e recolhimento de lixo na Rua Fernando Machado.,Limpeza Urbana
"RECONHECE O ADAD ADFLORIPA COMO BEM DE INTERESSE HISTÓRICO, CULTURAL, DESPORTIVO E SOCIAL PARA O MUNICÍPIO DE FLORIANÓPOLIS E DÁ OUTRAS PROVIDÊNCIAS.",Patrimônio cultural
"RECONHECE A UFADFLOR COMO BEM DE INTERESSE HISTÓRICO, CULTURAL E SOCIAL PARA O MUNICÍPIO DE FLORIANÓPOLIS E DÁ OUTRAS PROVIDÊNCIAS.",Patrimônio cultural
CONCEDE MEDALHA JOÃO PAULO II AO CONSELHO LOCAL DE SAÚDE DA BARRA DA LAGOA.,Medalha João Paulo II
"DISPÕE SOBRE A POSSIBILIDADE DE CONVERSÃO DO PAGAMENTO DE MULTAS DE TRÂNSITO DE NATUREZA LEVE E MÉDIA, DE COMPETÊNCIA DO MUNICÍPIO, EM DOAÇÃO DE SANGUE E DE MEDULA ÓSSEA, E DÁ OUTRAS PROVIDÊNCIAS.",Fiscalização administrativa e sanções
"Requer à Fundação Municipal do Meio Ambiente – FLORAM o encaminhamento de cópia integral da autorização ambiental de corte e/ou poda nº 243/2025, bem como dos respectivos pareceres técnicos e documentos que a fundamentaram, referentes a terreno localizado na região do Poção, no bairro Córrego Grande.",Limpeza Urbana
"CONCEDE REAJUSTE AOS EMPREGADOS DA AUTARQUIA DE MELHORAMENTOS DA CAPITAL (COMCAP), ESTABELECE NORMAS DE CARÁTER ECONÔMICO EM CUMPRIMENTO AO ACORDO COLETIVO TRABALHO E DÁ OUTRAS PROVIDÊNCIAS.",Limpeza Urbana
"Indica ao Executivo Municipal a necessidade de alteração da localização da faixa de pedestres no Trevo do Campeche, com reforço de sinalização e estudo técnico de segurança viária.",Organização do trânsito
"Indica ao Executivo Municipal a necessidade de melhorias urgentes na iluminação pública da Reta do Moçambique, no trecho entre a Barra da Lagoa e o Camping.",Iluminação pública
"Indica ao Executivo Municipal a necessidade de reinstalação ou restauração da placa oficial informativa da Trilha das Feiticeiras, com a devida preservação da memória histórica e cultural do local.",Obras e Reparos Urbanos
"Indica ao Executivo Municipal a necessidade de reparo urgente dos buracos no asfalto da Servidão Caminho do Porto, no bairro Itacorubi.",Manutenção da infraestrutura viária
"Indica ao Executivo Municipal a necessidade de melhorias no sistema de escoamento de águas pluviais na Avenida Cidade de Córdoba e vias adjacentes, no bairro Barra da Lagoa.",Manutenção da infraestrutura viária
"Estabelece a obrigatoriedade de realização de audiência pública local prévia para alteração, supressão ou redução de horários, itinerários ou linhas do serviço de transporte coletivo urbano no Município de Florianópolis.",Transporte público
Requer a destinação do Grande Expediente para homenagem aos 130 anos de fundação do Instituto Histórico e Geográfico de Santa Catarina.,Uso do Grande Expediente para homenagem
"Indica ao Executivo Municipal a necessidade de realização de reparos nos brinquedos da Praça Bento Silvério, no bairro Lagoa da Conceição",Criação e manutenção de área de lazer e atividade física
"Indica ao Executivo Municipal a necessidade de recapeamento asfáltico total da Rua Professor Egídio Ferreira, no bairro Capoeiras.",Manutenção da infraestrutura viária
"Indica ao Executivo Municipal a necessidade de reparo na via pública na Avenida Atlântica, esquina com a Avenida Max Schramm, no bairro Jardim Atlântico.",Manutenção da infraestrutura viária
"Indica ao Executivo Municipal a necessidade de pavimentação asfáltica e implantação de drenagem pluvial na Rua Bias Peixoto, no bairro Abraão.",Manutenção da infraestrutura viária
"Indica ao Executivo Municipal a necessidade de instalação de iluminação pública sob o Viaduto da Costeira, na via de acesso ao Aeroporto e à Via Expressa Sul.",Iluminação pública
"Indica ao Executivo Municipal a necessidade de reposição de pedras de petit pavê na calçada da Praça Olívio Amorim, na Avenida Hercílio Luz, esquina com a Rua Herman Blumenau.",Criação e manutenção de área de lazer e atividade física
Requer a realização de Reunião Ampliada no âmbito da Comissão de Saúde.,Gestão e Regulação da Saúde Pública
"Requer cópia de alvará e documentos a respeito de construção na Rua Gustavo Zimmer, na Vargem do Bom Jesus",Alvarás e liberações administrativas
"Requer Reunião Ampliada para discutir os resultados de relatório sobre violência policial nos últimos 10 anos ocorridas em Florianópolis, produzido pelo Desterro - Observatório de Violência.",Violência do Estado
"Inclui dispositivo na Lei Complementar nº 34, de 1999 - DISPÕE SOBRE O SISTEMA DE TRANSPORTE COLETIVO DE PASSAGEIROS NO MUNICÍPIO DE FLORIANÓPOLIS E DÁ OUTRAS PROVIDÊNCIAS.",Transporte público
"Indica ao Executivo Municipal a necessidade de reparo do meio-fio na Rua Valdeci Izidro da Silveira, em frente ao Residencial Praça Lisboa, nº 317, no Alto Ribeirão Leste.",Criação e manutenção de área de lazer e atividade física
"Indica ao Executivo Municipal e à Secretaria Municipal de Infraestrutura a necessidade de ampliação da capacidade de drenagem do bueiro localizado em frente ao nº 1820 da Rodovia Amaro Antônio Vieira, no bairro Itacorubi.",Rede de drenagem
"Solicita restauração de sinalização de estacionamento de motocicletas, no Centro.",Estacionamentos e vagas rotativas
Solicita a retirada ou suspensão de cabos de telefonia e internet que permanecem junto à nova Ponte da Lagoa da Conceição.,Limpeza Urbana
"INCLUI O ART. 97-D NA LEI Nº 1.224, DE 1974 — CÓDIGO DE POSTURAS MUNICIPAL, E DÁ OUTRAS PROVIDÊNCIAS.",Bem-estar e proteção animal
DISPÕE SOBRE A OBRIGATORIEDADE DA IMPLEMENTAÇÃO PROGRESSIVA DE CABEAMENTO SUBTERRÂNEO DE ENERGIA ELÉTRICA NO MUNICÍPIO DE FLORIANÓPOLIS E DÁ OUTRAS PROVIDÊNCIAS.,Manutenção de rede elétrica
"Requer informações referente ao Decreto n° 28.898, de 15 de janeiro de 2026.",Gestão e Regulação da Saúde Pública
"Requer o envio de expediente ao Chefe do Poder Executivo Municipal solicitando informações, por meio da Secretaria Municipal de Planejamento, Habitação e Desenvolvimento Urbano, acerca de eventual protocolo de empreendimento na área denominada “Ponta da Caiacanga”, no bairro Ribeirão da Ilha.",Áreas protegidas e conservação ambiental
"Requer o envio de expediente à Fundação Municipal do Meio Ambiente – FLORAM para que preste informações acerca do corte de árvore realizado na Rua Martinho de Haro, bairro Ingleses.",Governança ambiental
Solicita providências da Celesc em relação a problemas frequentes de falta de energia no bairro Córrego Grande.,Manutenção de rede elétrica
Requer Audiência Pública para discutir a regulamentação da Lei Federal 15.326/2026,Trabalhadores da educação
"REQUER A JUNTADA DE MANIFESTAÇÃO TÉCNICA, CORRESPONDÊNCIAS OFICIAIS E ABAIXO-ASSINADO AOS AUTOS DO PROJETO DE LEI N.º 19.509/2025.",Juntada de documento
"Solicita realização de Reunião Ampliada no âmbito da Comissão de Viação, Obras Públicas e Urbanismo.",Manutenção de rede elétrica
Requer informações referente a relatórios de serviços de manutenção realizados na EBM Batista Pereira.,Manutenção da estrutura escolar
Indicação de manutenção no NEIM Dona Cota,Manutenção da estrutura escolar
"Indica ao Poder Executivo Municipal, por meio da Secretaria Municipal de Infraestrutura e Manutenção da Cidade, a revitalização do deck de acesso à Praia do Santinho, ao final da Servidão Lucas Pedro Claudino.",Criação e manutenção de área de lazer e atividade física
"Indica ao Poder Executivo Municipal a realização de recolhimento de lixo volumoso na Rua do Caju, no bairro Santinho.",Limpeza Urbana
"Indica ao Poder Executivo Municipal, por meio da Secretaria Municipal de Infraestrutura e Manutenção da Cidade, a realização de reparos em bueiros (“bocas de lobo”) nas Ruas Jardim dos Eucaliptos e José João Vieira, no bairro Campeche.",Rede de drenagem
"Indica ao Poder Executivo Municipal, por meio da Secretaria Municipal de Infraestrutura e Manutenção da Cidade, a realização de reparos na Rua Capitão Américo, no bairro Córrego Grande.",Manutenção da infraestrutura viária
"Indica ao Poder Executivo Municipal, por meio da Secretaria Municipal de Infraestrutura e Manutenção da Cidade, a substituição de lâmpadas queimadas em postes de iluminação pública na Rua Valdeci Izidro da Silveira, no bairro do Alto Ribeirão Leste.",Manutenção de rede elétrica
"Indica ao Poder Executivo Municipal, por meio da Secretaria Municipal de Infraestrutura e Manutenção da Cidade, a realização de reparos na academia ao ar livre localizada na Av. Beira-Mar.",Criação e manutenção de área de lazer e atividade física
"Indica ao Poder Executivo Municipal, por meio da Secretaria Municipal de Infraestrutura e Manutenção da Cidade, a realização de reparos no meio-fio e limpeza da via na Rua Valdeci Izidro da Silveira, no bairro Ribeirão da Ilha.",Manutenção da infraestrutura viária
"Indica ao Poder Executivo Municipal, por meio da Secretaria Municipal de Infraestrutura e Manutenção da Cidade, a necessidade de melhoria da iluminação pública na Rua Dr. Álvaro Milen da Silveira, localizada no Centro.",Iluminação pública
Indica recolhimento de fios e cabos soltos em vias públicas,Manutenção de rede elétrica
"Indica ao Poder Executivo Municipal, por meio da Secretaria Municipal de Infraestrutura e Manutenção da Cidade, a realização de reparos no calçamento da Rua Aldo Queiroz, no bairro Santo Antônio de Lisboa.",Manutenção da infraestrutura viária
"Indica ao Poder Executivo Municipal, por meio da Secretaria Municipal de Infraestrutura e Manutenção da Cidade, a realização de reparo emergencial em buraco existente na via pública, na área entre as Travessas Seis e Sete, no bairro Pantanal.",Manutenção da infraestrutura viária
"Indica ao Poder Executivo Municipal, por meio da Secretaria Municipal de Infraestrutura e Manutenção da Cidade, a avaliação e implantação de calçada na área entre as Travessas Seis e Sete, no bairro Pantanal.",Manutenção da infraestrutura viária
"Indica ao Poder Executivo Municipal, por meio da Secretaria Municipal de Infraestrutura e Manutenção da Cidade e da FLORAM - Fundação Municipal do Meio Ambiente, a realização periódica de serviços de poda e limpeza da vegetação na área de APP situada entre as Travessas Seis e Sete, no bairro Pantanal.",Limpeza Urbana
"Indica ao Poder Executivo Municipal, por meio da Secretaria Municipal de Mobilidade e Planejamento Urbano, a adoção de medidas para melhoria da mobilidade e segurança viária na Rua Frederico Veras, no bairro Pantanal.",Manutenção da infraestrutura viária
"Indica ao Poder Executivo Municipal, por meio da Secretaria Municipal de Infraestrutura e Manutenção da Cidade, a realização de coleta de lixo, recolhimento de entulhos e serviços de manutenção urbana na Servidão João Luzia da Ventura, no bairro Ratones.",Manutenção da infraestrutura viária
"Requer informações ao Poder Executivo Municipal, por meio da Secretaria Municipal de Planejamento, Habitação e Desenvolvimento Urbano, sobre políticas e ações relativas à acessibilidade nas calçadas do Município de Florianópolis.",Acessibilidade
Requer informações referente à obra realizada no Centro de Saúde da Fazenda do Rio Tavares.,Equipamentos públicos de saúde
Solicita documento relativo à deliberação do Comitê Gestor do Plano Diretor.,Plano diretor
Solicita informações detalhadas sobre a aplicação de recursos da União para o cumprimento do piso salarial dos Agentes de Combate às Endemias.,Trabalhadores da saúde
